230.5;-49;17;19;-3.14159;0
230.5;-45;25;20;-3.14159;0
230.5;-41;33;21;-3.14159;0
230.5;-37;41;22;-3.14159;0
230.5;-33;49;23;-3.14159;0
230.5;-29;57;24;-3.14159;0
230.5;-25;65;25;-3.14159;0
230.5;-21;73;26;-3.14159;0
230.5;-17;81;27;-3.14159;0
230.5;-13;89;28;-3.14159;0
230.5;-9;97;29;-3.14159;0
230.5;-5;105;30;-3.14159;0
230.5;-1;113;31;-3.14159;0
230.5;-1;113;0;-3.14159;0
230.5;-1;113;32;0;3.14159
230.5;3;105;31;0;3.14159
230.5;7;97;30;0;3.14159
230.5;11;89;29;0;3.14159
230.5;15;81;28;0;3.14159
230.5;19;73;27;0;3.14159
230.5;23;65;26;0;3.14159
230.5;27;57;25;0;3.14159
230.5;31;49;24;0;3.14159
230.5;35;41;23;0;3.14159
230.5;39;33;22;0;3.14159
230.5;43;25;21;0;3.14159
230.5;47;17;20;0;3.14159
230.5;51;9;19;0;3.14159
230.5;55;1;18;0;3.14159
230.5;0;16;120;-1.5708;1.5708
234.5;0;15;112;-1.5708;1.5708
238.5;0;14;104;-1.5708;1.5708
242.5;0;13;96;-1.5708;1.5708
246.5;0;12;88;-1.5708;1.5708
250.5;0;11;80;-1.5708;1.5708
254.5;0;10;72;-1.5708;1.5708
258.5;0;9;64;-1.5708;1.5708
262.5;0;8;56;-1.5708;1.5708
266.5;0;7;48;-1.5708;1.5708
270.5;0;6;40;-1.5708;1.5708
274.5;0;5;32;-1.5708;1.5708
278.5;0;4;24;-1.5708;1.5708
282.5;0;3;16;-1.5708;1.5708
286.5;0;2;8;-1.5708;1.5708
290.5;0;1;8;1.5708;4.71239
294.5;0;2;16;1.5708;4.71239
298.5;0;3;24;1.5708;4.71239
302.5;0;4;32;1.5708;4.71239
306.5;0;5;40;1.5708;4.71239
310.5;0;6;48;1.5708;4.71239
314.5;0;7;56;1.5708;4.71239
318.5;0;8;64;1.5708;4.71239
322.5;0;9;72;1.5708;4.71239
326.5;0;10;80;1.5708;4.71239
330.5;0;11;88;1.5708;4.71239
334.5;0;12;96;1.5708;4.71239
338.5;0;13;104;1.5708;4.71239
342.5;0;14;112;1.5708;4.71239
346.5;0;15;120;1.5708;4.71239
346.5;0;0;120;1.5708;4.71239
346.5;-57;1;17;-3.14159;0
346.5;-53;9;18;-3.14159;0
346.5;-49;17;19;-3.14159;0
346.5;-45;25;20;-3.14159;0
346.5;-41;33;21;-3.14159;0
346.5;-37;41;22;-3.14159;0
346.5;-33;49;23;-3.14159;0
346.5;-29;57;24;-3.14159;0
346.5;-25;65;25;-3.14159;0
346.5;-21;73;26;-3.14159;0
346.5;-17;81;27;-3.14159;0
346.5;-13;89;28;-3.14159;0
346.5;-9;97;29;-3.14159;0
346.5;-5;105;30;-3.14159;0
346.5;-1;113;31;-3.14159;0
346.5;-1;113;0;-3.14159;0
346.5;-1;113;32;0;3.14159
346.5;3;105;31;0;3.14159
346.5;7;97;30;0;3.14159
346.5;11;89;29;0;3.14159
346.5;15;81;28;0;3.14159
346.5;19;73;27;0;3.14159
346.5;23;65;26;0;3.14159
346.5;27;57;25;0;3.14159
346.5;31;49;24;0;3.14159
346.5;35;41;23;0;3.14159
346.5;39;33;22;0;3.14159
346.5;43;25;21;0;3.14159
346.5;47;17;20;0;3.14159
346.5;51;9;19;0;3.14159
346.5;55;1;18;0;3.14159
346.5;0;16;120;-1.5708;1.5708
350.5;0;15;112;-1.5708;1.5708
354.5;0;14;104;-1.5708;1.5708
358.5;0;13;96;-1.5708;1.5708
362.5;0;12;88;-1.5708;1.5708
366.5;0;11;80;-1.5708;1.5708
370.5;0;10;72;-1.5708;1.5708
374.5;0;9;64;-1.5708;1.5708
378.5;0;8;56;-1.5708;1.5708
382.5;0;7;48;-1.5708;1.5708
386.5;0;6;40;-1.5708;1.5708
390.5;0;5;32;-1.5708;1.5708
394.5;0;4;24;-1.5708;1.5708
398.5;0;3;16;-1.5708;1.5708
402.5;0;2;8;-1.5708;1.5708
406.5;0;1;8;1.5708;4.71239
410.5;0;2;16;1.5708;4.71239
414.5;0;3;24;1.5708;4.71239
418.5;0;4;32;1.5708;4.71239
422.5;0;5;40;1.5708;4.71239
426.5;0;6;48;1.5708;4.71239
430.5;0;7;56;1.5708;4.71239
434.5;0;8;64;1.5708;4.71239
438.5;0;9;72;1.5708;4.71239
442.5;0;10;80;1.5708;4.71239
446.5;0;11;88;1.5708;4.71239
450.5;0;12;96;1.5708;4.71239
454.5;0;13;104;1.5708;4.71239
458.5;0;14;112;1.5708;4.71239
462.5;0;15;120;1.5708;4.71239
462.5;0;0;120;1.5708;4.71239
462.5;-57;1;17;-3.14159;0
462.5;-53;9;18;-3.14159;0
462.5;-49;17;19;-3.14159;0
462.5;-45;25;20;-3.14159;0
462.5;-41;33;21;-3.14159;0
462.5;-37;41;22;-3.14159;0
462.5;-33;49;23;-3.14159;0
462.5;-29;57;24;-3.14159;0
462.5;-25;65;25;-3.14159;0
462.5;-21;73;26;-3.14159;0
462.5;-17;81;27;-3.14159;0
462.5;-13;89;28;-3.14159;0
462.5;-9;97;29;-3.14159;0
462.5;-5;105;30;-3.14159;0
462.5;-1;113;31;-3.14159;0
462.5;-1;113;0;-3.14159;0
462.5;-1;113;32;0;3.14159
462.5;3;105;31;0;3.14159
462.5;7;97;30;0;3.14159
462.5;11;89;29;0;3.14159
462.5;15;81;28;0;3.14159
462.5;19;73;27;0;3.14159
462.5;23;65;26;0;3.14159
462.5;27;57;25;0;3.14159
462.5;31;49;24;0;3.14159
462.5;35;41;23;0;3.14159
462.5;39;33;22;0;3.14159
462.5;43;25;21;0;3.14159
462.5;47;17;20;0;3.14159
462.5;51;9;19;0;3.14159
462.5;55;1;18;0;3.14159
462.5;0;16;120;-1.5708;1.5708
466.5;0;15;112;-1.5708;1.5708
470.5;0;14;104;-1.5708;1.5708
474.5;0;13;96;-1.5708;1.5708
478.5;0;12;88;-1.5708;1.5708
482.5;0;11;80;-1.5708;1.5708
486.5;0;10;72;-1.5708;1.5708
490.5;0;9;64;-1.5708;1.5708
494.5;0;8;56;-1.5708;1.5708
498.5;0;7;48;-1.5708;1.5708
502.5;0;6;40;-1.5708;1.5708
506.5;0;5;32;-1.5708;1.5708
